PID	PGID	SID	PPID
1	1	1	0
4	4	4	1
11	11	11	1
15	15	15	1
28	28	28	1
34	34	34	11
38	38	1	1
45	45	45	34
50	50	50	15
56	56	56	1
61	61	61	1
65	495	1	1
67	67	67	1
69	69	69	34
72	72	1	1
75	75	75	45
78	78	78	1
97	97	97	1
98	27	27	1
99	99	99	1
100	100	100	15
103	11	11	75
104	104	104	103
107	107	107	1
108	108	108	1
111	111	111	103
113	113	113	1
115	115	1	1
119	11	11	1
120	4	4	1
128	128	128	1
130	130	130	1
136	136	136	1
139	139	139	103
140	140	140	1
141	141	141	1
143	143	143	50
144	144	144	1
146	146	146	1
150	150	150	1
153	153	153	144
157	157	10	1
158	158	158	1
161	161	161	1
164	15	15	108
166	166	69	69
169	169	169	115
173	173	8	1
174	174	174	1
175	612	4	128
176	176	176	1
190	190	190	1
192	192	192	120
194	194	4	1
195	195	195	1
196	196	196	1
199	199	199	72
201	3739	75	75
202	457	1	1
209	51	51	1
211	211	211	1
217	4	4	128
220	8	8	173
223	223	223	50
228	228	228	196
229	1	1	1
232	232	232	153
235	235	235	1
236	32	32	1
237	237	237	1
239	10	10	1
242	4	4	1
243	495	1	1
246	246	246	11
249	1163	4	1
250	250	250	1
255	255	255	1
262	262	262	1
265	265	1	38
266	266	266	250
267	267	95	1
268	268	268	1
270	270	270	1
272	272	272	1
275	15	15	1
277	277	277	115
283	283	283	1
284	284	284	1
286	326	231	1
288	15	15	164
289	289	289	28
290	290	290	1
292	292	292	284
297	297	297	1
298	298	298	1
299	1830	15	1
303	303	303	1
304	304	304	1
305	1384	27	1
306	306	306	128
308	90	1	283
311	311	311	78
312	312	4	120
314	314	314	1
315	315	315	1
320	320	320	229
321	321	321	1
322	322	322	1
323	323	323	150
326	326	231	1
327	327	63	1
330	330	330	236
332	332	332	38
333	333	333	1
341	341	341	315
346	10	10	157
347	347	347	104
348	348	348	1
349	349	349	1
350	350	350	130
353	353	353	1
358	358	358	1
364	364	36	1
367	367	367	1
368	11	11	246
370	370	6	1
372	4	4	1
374	364	36	1
378	378	378	1
380	380	380	1
381	6	1	1
385	3470	355	1
387	457	1	1
388	388	388	211
391	15	15	299
392	1	1	1
394	394	1	1
399	399	399	1
402	402	402	1
403	403	403	1
405	355	355	385
406	406	406	387
408	115	1	65
414	414	414	1
417	417	417	136
418	1	1	1
422	422	31	1
426	426	426	381
427	427	427	270
428	428	428	1
430	430	430	353
433	433	433	1
434	434	434	1
435	435	14	1
436	436	436	103
441	441	441	322
442	442	15	108
443	343	343	1
444	171	95	267
447	2601	142	1
448	75	75	201
454	454	454	201
458	110	110	1
461	1	1	408
462	462	462	223
463	463	463	175
465	465	465	333
467	11	11	139
472	472	472	229
474	474	474	1
475	475	475	1
479	479	479	1
483	1088	1	229
484	484	484	72
487	487	487	1
491	72	1	378
494	494	494	1
495	495	1	441
497	765	231	286
500	500	500	1
502	15	15	303
506	506	506	385
510	510	510	1
514	514	1	1
515	515	27	1
518	518	518	441
519	534	15	1
521	1	1	61
528	528	528	1
529	529	529	1
532	532	532	514
533	533	533	246
534	534	15	272
535	1	1	1
538	538	262	1
539	539	539	1
541	722	1	461
542	72	1	495
543	543	543	378
545	545	545	107
546	546	546	353
547	3653	32	1
549	549	549	402
552	15	15	442
554	554	554	434
555	555	555	1
556	556	556	327
557	56	56	1
558	558	558	305
562	562	562	1
564	564	564	1
565	612	4	463
566	566	566	236
567	567	343	1
568	568	568	518
570	570	570	1
571	314	314	314
572	572	572	1
573	573	1	1
574	3653	32	1
579	579	579	292
581	581	581	1
582	582	582	1
584	584	584	370
587	587	587	1
589	5129	56	1
590	590	590	542
591	591	591	326
592	592	592	1
593	593	258	1
595	595	11	1
596	596	10	1
598	598	598	1
599	599	15	1
600	11	11	1
601	601	601	1
602	15	15	164
605	605	605	113
606	606	606	392
611	611	1	322
613	613	613	566
614	1	1	381
616	616	616	1
618	1	1	229
619	1181	36	1
620	620	620	599
621	621	621	472
623	623	623	430
624	624	624	1
625	625	1	65
627	627	27	1
628	75	75	75
630	630	630	497
632	632	632	249
634	634	634	349
635	635	635	467
637	39	39	623
641	11	11	1
646	646	190	190
647	647	647	150
648	648	648	1
650	50	50	1
652	271	1	38
655	75	75	1
656	656	656	1
657	1	1	1
658	658	658	320
659	15	15	15
660	660	6	598
662	662	662	199
663	663	4	128
664	664	664	1
666	666	666	1
669	15	15	519
670	670	670	288
671	176	176	176
672	108	15	552
674	674	674	211
679	679	679	1
681	681	681	139
684	30	1	1
687	687	687	1
688	39	39	546
689	689	1	250
691	691	691	637
692	51	51	1
700	700	700	308
701	701	701	606
703	703	703	1
704	704	704	97
706	706	706	556
707	72	1	406
709	709	709	1
711	711	711	1
714	4	4	4
715	715	715	347
718	130	130	350
719	478	478	1
721	721	721	220
724	24	1	1
725	725	725	1
727	487	487	487
728	728	728	237
729	862	95	1
734	734	734	1
735	735	735	1
736	736	736	711
737	612	4	4
738	738	738	663
739	739	739	1
740	740	113	113
741	72	1	1
743	743	462	1
745	745	745	1
748	722	1	1
750	171	95	1
753	457	1	1
755	755	755	45
756	756	756	711
757	4	4	128
758	758	11	1
759	759	759	715
762	762	762	491
766	1885	1	1
768	768	768	1
769	769	769	322
771	15	15	1
774	774	774	1
775	775	775	368
776	776	776	1
778	778	144	144
779	331	2	1
781	781	781	497
783	783	783	574
784	784	784	573
785	785	785	166
786	15	15	1
789	789	789	472
795	795	795	1
797	797	797	430
798	798	798	541
799	799	799	1
800	800	800	465
803	803	747	1
804	804	804	38
808	15	15	348
812	812	190	646
813	37	37	1
815	868	210	1
818	747	747	803
822	171	95	729
825	825	825	1
831	4	4	1
834	37	37	1
835	835	835	461
836	836	836	1
839	24	1	724
842	15	15	1
843	82	2	1
845	845	845	711
847	11	11	1
853	853	853	822
855	3926	4	757
857	144	144	144
860	860	860	392
861	861	861	1
862	412	95	237
863	907	27	298
867	204	204	725
868	868	210	815
869	869	869	542
870	37	37	1
872	39	39	1
875	875	875	1
876	876	8	721
880	880	880	1
881	881	881	1
884	884	884	1
889	289	289	289
890	890	37	834
892	892	892	1
893	4042	1	283
896	457	1	472
899	899	899	600
900	900	900	1
902	902	902	288
904	904	904	236
905	15	15	808
906	906	906	157
908	908	908	1
911	911	911	579
912	912	912	408
913	157	10	1
914	914	914	660
919	919	919	1
922	1	1	1
923	24	1	1
924	924	924	454
926	14	14	1
927	4460	1	1
929	929	27	1
930	930	930	262
932	932	932	919
933	933	933	1
934	934	934	660
935	935	935	320
936	1885	1	465
937	90	1	936
943	943	37	1
946	271	1	662
947	4465	1	1
948	6	1	658
949	15	15	15
950	72	1	748
951	221	62	1
952	952	75	1
954	4	4	565
955	104	104	759
957	957	957	332
958	75	75	664
961	265	1	381
964	15	15	391
965	965	965	1
967	967	967	107
969	969	176	176
970	970	970	104
972	972	972	1
973	15	15	1
974	974	462	1
976	976	343	1
977	977	977	1
981	981	981	164
986	986	11	311
987	1830	15	108
988	14	14	435
989	989	989	669
991	11	11	847
993	993	993	628
995	457	1	922
996	996	996	868
998	998	998	1
999	999	999	778
1001	1001	1001	660
1002	1002	248	1
1003	1003	1003	1
1004	15	15	100
1007	1007	1007	970
1009	513	513	736
1010	231	231	774
1011	1011	27	305
1013	1013	1013	11
1015	1015	1015	444
1017	1	1	911
1018	1018	1018	158
1020	15	15	164
1021	1021	1021	812
1023	1023	1023	1
1027	221	62	1
1028	217	4	217
1029	1029	1029	1
1034	176	176	176
1039	1039	1039	108
1040	1040	1040	1
1041	157	10	1
1042	1042	1042	1
1044	1044	1044	783
1045	1045	1045	870
1046	1046	1046	136
1047	1047	1047	1
1048	453	110	494
1049	895	895	1
1051	869	869	869
1053	4199	75	655
1057	1057	1057	1
1058	1058	1058	1
1062	1062	1062	734
1065	1065	56	1
1070	1070	248	1
1072	473	176	1
1073	104	104	104
1075	1064	11	1
1076	1076	1076	1
1077	146	146	146
1078	1078	1078	394
1079	1079	11	592
1084	1084	1084	1
1087	1087	355	405
1088	1088	1	965
1090	228	228	228
1094	1094	104	709
1095	1095	1095	157
1099	1099	1099	1
1100	1100	1100	1
1101	1101	1101	1
1102	1	1	1
1103	1103	1103	1
1104	1104	1104	892
1105	263	263	972
1107	1107	1107	1
1108	1108	1108	228
1111	1064	11	595
1112	1112	15	1
1113	664	75	1
1116	15	15	1
1118	1118	62	1
1119	1119	1119	519
1120	343	343	567
1121	1121	1121	436
1122	1122	1122	1
1125	1125	1125	1
1126	1126	1126	905
1127	1127	1127	1
1128	1128	1128	368
1130	612	4	1
1133	75	75	958
1134	1	1	229
1137	3982	176	969
1138	1626	1	1
1141	543	543	543
1142	8	8	220
1143	1143	1143	201
1144	1144	1144	954
1148	1148	1148	1041
1150	75	75	1
1152	1152	1152	506
1153	1153	1	700
1154	1154	1154	1001
1155	1155	1155	905
1156	343	343	443
1157	158	158	1018
1158	355	355	405
1159	204	204	1
1160	1160	4	565
1161	2149	15	1046
1162	10	10	1
1163	1163	4	1
1164	1164	97	1
1166	1166	1166	1079
1169	24	1	394
1170	1170	1170	1118
1175	1175	1	1134
1177	4108	37	1045
1180	1180	95	1
1181	1181	36	1
1182	2149	15	1
1183	1183	1183	290
1185	4075	513	1009
1186	1186	1186	1
1189	1189	1189	1
1191	1191	1191	1
1192	1	1	1
1193	15	15	1
1195	457	1	1
1196	1196	1	965
1198	1198	39	1
1200	1200	1200	4
1201	1201	1201	176
1202	1202	1202	1
1203	1203	1203	1
1205	1205	10	1
1208	1208	1208	1
1209	1209	1209	45
1212	1212	1212	1
1215	1215	1215	648
1216	1216	1216	647
1217	4	4	1
1219	1219	1219	1
1220	1220	1220	1
1221	1221	1221	164
1222	1222	1222	1
1223	1223	1223	286
1225	1225	1225	475
1226	228	228	1
1229	37	37	1045
1231	1	1	1192
1233	1233	1233	721
1234	39	39	688
1236	1236	1236	1
1237	110	110	908
1242	1	1	292
1244	11	11	1
1247	1247	1	541
1249	3188	15	1004
1252	11	11	1
1253	722	1	1
1256	1256	1256	1001
1259	1259	1259	403
1261	1261	869	869
1262	1262	1055	1
1263	1263	1263	797
1265	1265	1265	462
1268	1268	1268	61
1269	327	63	556
1270	1270	1270	1
1271	1271	1271	861
1273	312	4	175
1274	921	921	1
1275	110	110	1100
1276	440	1	1138
1277	817	817	1
1279	1064	11	107
1281	1281	1281	1
1283	1	1	652
1284	1284	1284	658
1285	1285	1285	1
1287	290	290	290
1288	15	15	1
1291	1291	1291	1
1293	1293	1293	1
1295	534	15	428
1296	1296	1296	727
1297	1297	1	535
1300	1300	1300	1101
1301	171	95	1
1305	457	1	1
1307	1307	1307	835
1309	6	6	1
1310	271	1	378
1312	1	1	1195
1313	1313	1313	1
1314	2512	204	867
1315	1315	1315	614
1316	1316	1316	45
1317	1	1	700
1318	1318	1318	660
1320	1320	1320	1192
1321	1321	1321	1
1324	1324	11	139
1326	1326	1326	1
1328	1328	1328	919
1329	1488	1	1
1331	10	10	1
1333	1333	1333	1
1336	1	1	700
1337	72	1	484
1339	1339	513	1
1341	1341	1341	786
1346	32	32	783
1347	1	1	67
1350	1350	37	1045
1351	1351	1351	1265
1353	457	1	1
1354	10	10	1331
1356	1356	1201	1201
1357	1357	1357	1295
1358	1358	1358	1141
1359	1359	1359	28
1361	1361	1	1196
1362	1362	1362	1
1367	1	1	839
1369	4	4	1
1370	1	1	1
1371	1371	104	1
1372	1372	1372	1
1376	1376	1376	1
1379	15	15	1
1381	1381	1381	209
1384	1384	27	627
1385	1385	1385	1
1387	1341	15	1341
1389	534	15	989
1390	1390	1390	15
1394	1394	1394	1070
1395	4042	1	1192
1396	245	245	1
1397	1397	1397	494
1400	130	130	130
1401	1401	1401	1
1405	1405	95	1
1406	1406	1406	1314
1408	1408	1408	1
1409	1409	1409	1
1410	1410	1410	1
1412	1412	1412	1
1413	331	2	1
1414	1414	1414	1101
1417	171	95	1301
1418	715	715	1
1427	11	11	600
1429	1429	1429	374
1434	1434	1434	320
1436	636	15	905
1437	495	1	804
1440	1440	1440	625
1441	1441	1441	1
1443	1443	1443	1
1447	1447	1447	1041
1448	1448	1448	1
1450	1450	1450	1
1453	1453	1453	1418
1454	1454	1454	1242
1455	1455	15	1
1456	171	95	822
1457	1457	1457	1
1458	1458	1458	1
1459	8	8	1233
1460	14	14	1
1463	1463	1	465
1464	1	1	1
1465	1465	1465	1
1466	1466	1	1
1467	1467	1467	1454
1468	1468	1468	1
1469	1469	1469	1
1470	1470	272	272
1473	262	262	1
1475	11	11	1125
1476	1476	1476	1354
1479	600	11	600
1480	921	921	1
1482	473	473	1
1483	1	1	1
1487	1487	1487	1
1488	722	1	1
1489	1489	1489	1
1491	1491	1491	1408
1493	1493	1493	1
1494	6	1	332
1495	32	32	236
1496	1496	1496	1
1499	1499	1499	889
1501	271	1	322
1503	1503	1503	1
1504	1504	1504	1
1505	174	174	174
1507	1507	1507	1460
1508	39	39	1
1509	1509	1509	1
1510	1510	1510	320
1511	1511	15	949
1512	76	76	1
1513	1513	1513	1
1515	422	31	1
1516	27	27	1
1517	1	1	1
1522	1522	1522	1339
1523	1523	679	679
1524	3372	11	758
1525	1525	1525	1
1526	1526	56	589
1527	1527	1527	1070
1529	277	277	1
1530	1530	1530	333
1531	1531	301	1487
1532	1532	1532	1
1533	1	1	472
1535	27	27	1
